
# Surface 0 of 1 surfaces

# Curve title: ""potential-pos_inverted_contourtmp0.dat""

# Contour 0, label:        4
# Contour 10, label:        3
-0.130486  0.307252  3 
-0.13558  0.304289  3 
-0.217441  0.255291  3 
-0.255385  0.217334  3 
-0.304396  0.135376  3 
-0.307301  0.130379  3 
-0.335183  0.0434239  3 
-0.335159 -0.0435311  3 
-0.307229 -0.130486  3 
-0.304396 -0.135359  3 
-0.2553 -0.217441  3 
-0.217441 -0.2553  3 
-0.135359 -0.304396  3 
-0.130486 -0.307229  3 
-0.0435311 -0.335159  3 
 0.0434239 -0.335183  3 
 0.130379 -0.307301  3 
 0.135376 -0.304396  3 
 0.217334 -0.255385  3 
 0.255291 -0.217441  3 
 0.304289 -0.13558  3 
 0.307252 -0.130486  3 
 0.335173 -0.0435311  3 
 0.335196  0.0434239  3 
 0.307324  0.130379  3 
 0.304289  0.135599  3 
 0.2554  0.217334  3 
 0.217334  0.2554  3 
 0.135599  0.304289  3 
 0.130379  0.307324  3 
 0.0434239  0.335196  3 
-0.0435311  0.335173  3 
-0.130486  0.307252  3 


# Contour 11, label:      2.9
-0.130486  0.321849  2.9 
-0.160676  0.304289  2.9 
-0.217441  0.270312  2.9 
-0.270401  0.217334  2.9 
-0.304396  0.160485  2.9 
-0.321901  0.130379  2.9 
-0.347385  0.0434239  2.9 
-0.347361 -0.0435311  2.9 
-0.321834 -0.130486  2.9 
-0.304396 -0.160476  2.9 
-0.270323 -0.217441  2.9 
-0.217441 -0.270323  2.9 
-0.160476 -0.304396  2.9 
-0.130486 -0.321834  2.9 
-0.0435311 -0.347361  2.9 
 0.0434239 -0.347385  2.9 
 0.130379 -0.321901  2.9 
 0.160485 -0.304396  2.9 
 0.217334 -0.270401  2.9 
 0.270312 -0.217441  2.9 
 0.304289 -0.160676  2.9 
 0.321849 -0.130486  2.9 
 0.34737 -0.0435311  2.9 
 0.347388  0.0434239  2.9 
 0.321913  0.130379  2.9 
 0.304289  0.160694  2.9 
 0.27041  0.217334  2.9 
 0.217334  0.27041  2.9 
 0.160694  0.304289  2.9 
 0.130379  0.321913  2.9 
 0.0434239  0.347388  2.9 
-0.0435311  0.34737  2.9 
-0.130486  0.321849  2.9 


# Contour 12, label:      2.8
-0.130486  0.336446  2.8 
-0.185771  0.304289  2.8 
-0.217441  0.285333  2.8 
-0.285416  0.217334  2.8 
-0.304396  0.185595  2.8 
-0.336501  0.130379  2.8 
-0.359588  0.0434239  2.8 
-0.359564 -0.0435311  2.8 
-0.336438 -0.130486  2.8 
-0.304396 -0.185593  2.8 
-0.285347 -0.217441  2.8 
-0.217441 -0.285347  2.8 
-0.185593 -0.304396  2.8 
-0.130486 -0.336438  2.8 
-0.0435311 -0.359564  2.8 
 0.0434239 -0.359588  2.8 
 0.130379 -0.336501  2.8 
 0.185595 -0.304396  2.8 
 0.217334 -0.285416  2.8 
 0.285333 -0.217441  2.8 
 0.304289 -0.185771  2.8 
 0.336446 -0.130486  2.8 
 0.359567 -0.0435311  2.8 
 0.359581  0.0434239  2.8 
 0.336503  0.130379  2.8 
 0.304289  0.185789  2.8 
 0.285421  0.217334  2.8 
 0.217334  0.285421  2.8 
 0.185789  0.304289  2.8 
 0.130379  0.336503  2.8 
 0.0434239  0.359581  2.8 
-0.0435311  0.359567  2.8 
-0.130486  0.336446  2.8 


# Contour 13, label:      2.7
-0.130486  0.351043  2.7 
-0.210866  0.304289  2.7 
